pose_id,display_name,sanskrit_simplified_primary,sanskrit_latin_primary,category,subcategory,difficulty,pose_url,suggested_filename
BoatBindOutsideEdgeHalf,Boat (Grabbing the Feet),,,seated,balancing,intermediate,https://pocketyoga.com/pose/BoatBindOutsideEdgeHalf,Boat_Grabbing_the_Feet
BoatBindOutsideEdgePreparation,Plow (Grabbing the Feet),,,supine,neutral,intermediate,https://pocketyoga.com/pose/BoatBindOutsideEdgePreparation,Plow_Grabbing_the_Feet
BoatBindPreparation,Plow with Toe Hold,,,supine,neutral,intermediate,https://pocketyoga.com/pose/BoatBindPreparation,Plow_with_Toe_Hold
BoatFull,Boat,navasana,nāvāsana,seated,balancing,intermediate,https://pocketyoga.com/pose/BoatFull,Boat_Navasana
BoatHalf,Half Boat,ardha navasana,ardha nāvāsana,seated,balancing,beginner,https://pocketyoga.com/pose/BoatHalf,Half_Boat_Ardha_Navasana
BoatLow,Low Boat,ardha navasana,ardha nāvāsana,seated,balancing,beginner,https://pocketyoga.com/pose/BoatLow,Low_Boat_Ardha_Navasana
BoundAngle,Bound Angle,baddha konasana,baddha koṇāsana,seated,neutral,beginner,https://pocketyoga.com/pose/BoundAngle,Bound_Angle_Baddha_Konasana
BoundAngleForward,Bound Angle I,baddha konasana a,baddha koṇāsana a,seated,forward_bend,intermediate,https://pocketyoga.com/pose/BoundAngleForward,Bound_Angle_I_Baddha_Konasana_A
BoundAngleII,Bound Angle II,baddha konasana b,baddha koṇāsana b,seated,forward_bend,intermediate,https://pocketyoga.com/pose/BoundAngleII,Bound_Angle_II_Baddha_Konasana_B
Bow,Bow,dhanurasana,dhanurāsana,prone,backbend,intermediate,https://pocketyoga.com/pose/Bow,Bow_Dhanurasana
BowBigToeI,Big Toe Bow I,padangushtha dhanurasana a,pādāṅguṣṭha dhanurāsana a,prone,backbend,expert,https://pocketyoga.com/pose/BowBigToeI,Big_Toe_Bow_I_Padangushtha_Dhanurasana_A
BowBigToeII,Big Toe Bow II,padangushtha dhanurasana b,pādāṅguṣṭha dhanurāsana b,prone,backbend,expert,https://pocketyoga.com/pose/BowBigToeII,Big_Toe_Bow_II_Padangushtha_Dhanurasana_B
BowHalf,Kneeling Bow,vyaghrasana,vyāghrāsana,arm_leg_support,backbend,intermediate,https://pocketyoga.com/pose/BowHalf,Kneeling_Bow_Vyaghrasana
BowPreparation,Bow (Preparation),,,prone,backbend,beginner,https://pocketyoga.com/pose/BowPreparation,Bow_Preparation
BowSide,Side Bow,parshva dhanurasana,pārśva dhanurāsana,prone,backbend,intermediate,https://pocketyoga.com/pose/BowSide,Side_Bow_Parshva_Dhanurasana
BoxHandToAnkle,Revolved Child's,parshva balasana,pārśva bālāsana,arm_leg_support,twist,beginner,https://pocketyoga.com/pose/BoxHandToAnkle,Revolved_Child_s_Parshva_Balasana
BoxNeutral,Box,chakravakasana,cakravākāsana,arm_leg_support,neutral,beginner,https://pocketyoga.com/pose/BoxNeutral,Box_Chakravakasana
BoxTwist,Box with Arm Extension,,,arm_leg_support,twist,beginner,https://pocketyoga.com/pose/BoxTwist,Box_with_Arm_Extension
Bridge,Bridge,setu bandha sarvangasana,setu bandha sarvāṅgāsana,supine,backbend,intermediate,https://pocketyoga.com/pose/Bridge,Bridge_Setu_Bandha_Sarvangasana
BridgeLegUp,One Legged Bridge,eka pada setu bandha sarvangasana,eka pāda setu bandha sarvāṅgāsana,supine,backbend,intermediate,https://pocketyoga.com/pose/BridgeLegUp,One_Legged_Bridge_Eka_Pada_Setu_Bandha_Sarvangasana
BridgePreparation,Bridge (Preparation),,,supine,backbend,beginner,https://pocketyoga.com/pose/BridgePreparation,Bridge_Preparation
Butterfly,Butterfly,,,seated,forward_bend,beginner,https://pocketyoga.com/pose/Butterfly,Butterfly
ButterflyPreparation,Butterfly (Preparation),,,seated,forward_bend,beginner,https://pocketyoga.com/pose/ButterflyPreparation,Butterfly_Preparation
Camel,Camel,ushtrasana,uṣṭrāsana,arm_leg_support,backbend,intermediate,https://pocketyoga.com/pose/Camel,Camel_Ushtrasana
CamelEasy,Supported Camel,,,arm_leg_support,backbend,beginner,https://pocketyoga.com/pose/CamelEasy,Supported_Camel
CamelPreparation,Kneeling with Prayer Hands,,,arm_leg_support,neutral,beginner,https://pocketyoga.com/pose/CamelPreparation,Kneeling_with_Prayer_Hands
CamelPreparationHandsOnHips,Kneeling with Hands on Hips,,,arm_leg_support,neutral,beginner,https://pocketyoga.com/pose/CamelPreparationHandsOnHips,Kneeling_with_Hands_on_Hips
Cat,Cat,marjariasana,mārjārīāsana,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/Cat,Cat_Marjariasana
CatBalance,Balancing Table,utthita chakravakasana,utthita cakravākāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/CatBalance,Balancing_Table_Utthita_Chakravakasana
CatBalanceElbowToKnee,Kneeling Elbow to Knee Crunch,,,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/CatBalanceElbowToKnee,Kneeling_Elbow_to_Knee_Crunch
Caterpillar,Caterpillar,,,seated,forward_bend,beginner,https://pocketyoga.com/pose/Caterpillar,Caterpillar
Chair,Chair,utkatasana,utkaṭāsana,standing,balancing,beginner,https://pocketyoga.com/pose/Chair,Chair_Utkatasana
ChairLookingUp,Chair with Gaze Up,utkatasana,utkaṭāsana,standing,balancing,beginner,https://pocketyoga.com/pose/ChairLookingUp,Chair_with_Gaze_Up_Utkatasana
ChairPrayer,Chair with Prayer Hands,,,standing,balancing,beginner,https://pocketyoga.com/pose/ChairPrayer,Chair_with_Prayer_Hands
ChairSideTwist,Chair with Open Arm Twist,,,standing,twist,beginner,https://pocketyoga.com/pose/ChairSideTwist,Chair_with_Open_Arm_Twist
ChairTwist,Revolved Chair,parivritta utkatasana,parivṛtta utkaṭāsana,standing,twist,beginner,https://pocketyoga.com/pose/ChairTwist,Revolved_Chair_Parivritta_Utkatasana
ChairTwistBind,Bound Revolved Chair,parivritta baddha utkatasana,parivṛtta baddha utkaṭāsana,standing,twist,intermediate,https://pocketyoga.com/pose/ChairTwistBind,Bound_Revolved_Chair_Parivritta_Baddha_Utkatasana
ChairTwistBindUp,Bird of Paradise,svarga dvijasana,svarga dvijāsana,standing,balancing,expert,https://pocketyoga.com/pose/ChairTwistBindUp,Bird_of_Paradise_Svarga_Dvijasana
ChairTwistExtended,Revolved Chair with Arms Extended,utthita parivritta utkatasana,utthita parivṛtta utkaṭāsana,standing,twist,intermediate,https://pocketyoga.com/pose/ChairTwistExtended,Revolved_Chair_with_Arms_Extended_Utthita_Parivritta_Utkatasana
Child,Extended Child's,utthita balasana,utthita bālāsana,prone,forward_bend,beginner,https://pocketyoga.com/pose/Child,Extended_Child_s_Utthita_Balasana
ChildTraditional,Child's,balasana,bālāsana,prone,forward_bend,beginner,https://pocketyoga.com/pose/ChildTraditional,Child_s_Balasana
ChildWide,Wide Child's,balasana,bālāsana,prone,forward_bend,beginner,https://pocketyoga.com/pose/ChildWide,Wide_Child_s_Balasana
ChildWideSideBend,Wide Child's with Side Stretch,,,prone,forward_bend,beginner,https://pocketyoga.com/pose/ChildWideSideBend,Wide_Child_s_with_Side_Stretch
ChildWideSideLean,Wide Child's with Neck Stretch,,,prone,forward_bend,beginner,https://pocketyoga.com/pose/ChildWideSideLean,Wide_Child_s_with_Neck_Stretch
ChinStand,Chin Stand,ganda bherundasana,gaṇḍa bheruṇḍāsana,arm_balance_and_inversion,backbend,expert,https://pocketyoga.com/pose/ChinStand,Chin_Stand_Ganda_Bherundasana
ChinStandScorpion,Scorpion Chin Stand,,,arm_balance_and_inversion,backbend,expert,https://pocketyoga.com/pose/ChinStandScorpion,Scorpion_Chin_Stand
ChinStandSingleLeg,One Legged Chin Stand,eka pada ganda bherundasana,eka pāda gaṇḍa bheruṇḍāsana,arm_leg_support,backbend,intermediate,https://pocketyoga.com/pose/ChinStandSingleLeg,One_Legged_Chin_Stand_Eka_Pada_Ganda_Bherundasana
Cobra,Low Cobra,ardha bhujangasana,ardha bhujaṅgāsana,prone,backbend,beginner,https://pocketyoga.com/pose/Cobra,Low_Cobra_Ardha_Bhujangasana
CobraFull,Cobra,bhujangasana,bhujaṅgāsana,prone,backbend,intermediate,https://pocketyoga.com/pose/CobraFull,Cobra_Bhujangasana
CobraKing,King Cobra,raja bhujangasana,rāja bhujaṅgāsana,prone,backbend,expert,https://pocketyoga.com/pose/CobraKing,King_Cobra_Raja_Bhujangasana
Corpse,Corpse,shavasana,śavāsana,supine,neutral,beginner,https://pocketyoga.com/pose/Corpse,Corpse_Shavasana
CorpseConstructive,Constructive Rest,,,supine,neutral,beginner,https://pocketyoga.com/pose/CorpseConstructive,Constructive_Rest
CorpseDoubleLegRaise,Waterfall,supta dandasana,supta daṇḍāsana,supine,balancing,beginner,https://pocketyoga.com/pose/CorpseDoubleLegRaise,Waterfall_Supta_Dandasana
CorpseExtended,Extended Corpse,supta utthita tadasana,supta utthita tāḍāsana,supine,neutral,beginner,https://pocketyoga.com/pose/CorpseExtended,Extended_Corpse_Supta_Utthita_Tadasana
CorpseFront,Reverse Corpse with Arms On Sides,advasana,advāsana,prone,neutral,beginner,https://pocketyoga.com/pose/CorpseFront,Reverse_Corpse_with_Arms_On_Sides_Advasana
CorpseFrontArmsForward,Reverse Corpse,advasana,advāsana,prone,neutral,beginner,https://pocketyoga.com/pose/CorpseFrontArmsForward,Reverse_Corpse_Advasana
CorpseFrontHandsUnderShoulders,Reverse Corpse with Hands Under Shoulders,,,prone,neutral,beginner,https://pocketyoga.com/pose/CorpseFrontHandsUnderShoulders,Reverse_Corpse_with_Hands_Under_Shoulders
CorpseFrontNeckStretch,Reverse Corpse with Neck Stretch,,,prone,neutral,beginner,https://pocketyoga.com/pose/CorpseFrontNeckStretch,Reverse_Corpse_with_Neck_Stretch
CorpseFrontPrayer,Reverse Corpse with Prayer Hands,pranama,praṇāma,prone,neutral,beginner,https://pocketyoga.com/pose/CorpseFrontPrayer,Reverse_Corpse_with_Prayer_Hands_Pranama
CorpseNeckStretch,Corpse with Neck Stretch,,,supine,neutral,beginner,https://pocketyoga.com/pose/CorpseNeckStretch,Corpse_with_Neck_Stretch
Cradle,Rock the Baby,,,seated,neutral,beginner,https://pocketyoga.com/pose/Cradle,Rock_the_Baby
Crane,Crane,bakasana,bakāsana,arm_balance_and_inversion,balancing,intermediate,https://pocketyoga.com/pose/Crane,Crane_Bakasana
CraneOneLegged,One Legged Crane II,eka pada bakasana b,eka pāda bakāsana b,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/CraneOneLegged,One_Legged_Crane_II_Eka_Pada_Bakasana_B
CrescentMoon,Crescent Moon,ardha chandrasana,ardha candrāsana,standing,lateral_bend,intermediate,https://pocketyoga.com/pose/CrescentMoon,Crescent_Moon_Ardha_Chandrasana
CrookedMonkey,Crooked Monkey,,,arm_leg_support,twist,intermediate,https://pocketyoga.com/pose/CrookedMonkey,Crooked_Monkey
CrookedMonkeyForearm,Crooked Monkey on the Forearm,,,arm_leg_support,twist,intermediate,https://pocketyoga.com/pose/CrookedMonkeyForearm,Crooked_Monkey_on_the_Forearm
Crow,Crow,kakasana,kākāsana,arm_balance_and_inversion,balancing,intermediate,https://pocketyoga.com/pose/Crow,Crow_Kakasana
CrowFlying,One Legged Crane I,eka pada bakasana a,eka pāda bakāsana a,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/CrowFlying,One_Legged_Crane_I_Eka_Pada_Bakasana_A
CrowSide,Side Crow,parshva bakasana,pārśva bakāsana,arm_balance_and_inversion,twist,expert,https://pocketyoga.com/pose/CrowSide,Side_Crow_Parshva_Bakasana
CrowSideExtended,Two Legged Sage Koundinya's,dvi pada koundinyasana,dvi pāda kouṇḍinyāsana,arm_balance_and_inversion,twist,expert,https://pocketyoga.com/pose/CrowSideExtended,Two_Legged_Sage_Koundinya_s_Dvi_Pada_Koundinyasana
CrowSidePreparation,Side Crow (Preparation),,,seated,twist,intermediate,https://pocketyoga.com/pose/CrowSidePreparation,Side_Crow_Preparation
DeafMan,Deaf Man's,karna pidasana,karṇa pīḍāsana,arm_balance_and_inversion,forward_bend,expert,https://pocketyoga.com/pose/DeafMan,Deaf_Man_s_Karna_Pidasana
Dog,Cow,bitilasana,bitilāsana,arm_leg_support,backbend,beginner,https://pocketyoga.com/pose/Dog,Cow_Bitilasana
Dolphin,Dolphin,shishumarasana,śiśumārāsana,arm_leg_support,forward_bend,intermediate,https://pocketyoga.com/pose/Dolphin,Dolphin_Shishumarasana
DolphinHamstring,Dolphin with Hamstring Stretch,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/DolphinHamstring,Dolphin_with_Hamstring_Stretch
DolphinLegUp,One Legged Dolphin,eka pada shishumarasana,eka pāda śiśumārāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/DolphinLegUp,One_Legged_Dolphin_Eka_Pada_Shishumarasana
DolphinOnToes,Dolphin with Heel Raises,,,arm_leg_support,forward_bend,intermediate,https://pocketyoga.com/pose/DolphinOnToes,Dolphin_with_Heel_Raises
DownwardDog,Downward-Facing Dog,adho mukha shvanasana,adho mukha śvānāsana,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/DownwardDog,Downward_Facing_Dog_Adho_Mukha_Shvanasana
DownwardDogBentKnees,Downward-Facing Dog with Bent Knees,,,arm_leg_support,forward_bend,beginner,https://pocketyoga.com/pose/DownwardDogBentKnees,Downward_Facing_Dog_with_Bent_Knees
DownwardDogHamstring,Downward-Facing Dog with Hamstring Stretch,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/DownwardDogHamstring,Downward_Facing_Dog_with_Hamstring_Stretch
DownwardDogHandToAnkle,Revolved Downward-Facing Dog,parivritta adho mukha shvanasana,parivṛtta adho mukha śvānāsana,arm_leg_support,twist,intermediate,https://pocketyoga.com/pose/DownwardDogHandToAnkle,Revolved_Downward_Facing_Dog_Parivritta_Adho_Mukha_Shvanasana
DownwardDogKneeToForehead,Downward-Facing Dog with Knee to Forehead,,,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/DownwardDogKneeToForehead,Downward_Facing_Dog_with_Knee_to_Forehead
DownwardDogKneeToForeheadKneeling,Plank on the Knees with Knee to Forehead,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/DownwardDogKneeToForeheadKneeling,Plank_on_the_Knees_with_Knee_to_Forehead
DownwardDogLegUp,Three Legged Downward-Facing Dog,eka pada adho mukha shvanasana,eka pāda adho mukha śvānāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/DownwardDogLegUp,Three_Legged_Downward_Facing_Dog_Eka_Pada_Adho_Mukha_Shvanasana
DownwardDogLegUpKneeling,Extended One Legged Plank on the Knees,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/DownwardDogLegUpKneeling,Extended_One_Legged_Plank_on_the_Knees
DownwardDogLegUpStackHips,Three Legged Downward-Facing Dog with Hip Opener,,,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/DownwardDogLegUpStackHips,Three_Legged_Downward_Facing_Dog_with_Hip_Opener
DownwardDogLegUpStackHipsBind,Balancing Three Legged Downward-Facing Dog with Hip Opener,,,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/DownwardDogLegUpStackHipsBind,Balancing_Three_Legged_Downward_Facing_Dog_with_Hip_Opener
DownwardDogOnToes,Downward-Facing Dog with Heel Raises,,,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/DownwardDogOnToes,Downward_Facing_Dog_with_Heel_Raises
DownwardFish,Downward-Facing Fish,adho mukha matsyasana,adho mukha matsyāsana,prone,neutral,intermediate,https://pocketyoga.com/pose/DownwardFish,Downward_Facing_Fish_Adho_Mukha_Matsyasana
Duck,Himalayan Duck,karandavasana,karāndāvāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/Duck,Himalayan_Duck_Karandavasana
Eagle,Eagle,garudasana,garuḍāsana,standing,balancing,intermediate,https://pocketyoga.com/pose/Eagle,Eagle_Garudasana
EagleForward,Standing Eagle Crunch,,,standing,balancing,intermediate,https://pocketyoga.com/pose/EagleForward,Standing_Eagle_Crunch
Easy,Easy,sukhasana,sukhāsana,seated,neutral,beginner,https://pocketyoga.com/pose/Easy,Easy_Sukhasana
EasyForward,Easy Forward Bend,sukhasana,sukhāsana,seated,neutral,beginner,https://pocketyoga.com/pose/EasyForward,Easy_Forward_Bend_Sukhasana
EasyTwist,Easy Twist,parivritta sukhasana,parivṛtta sukhāsana,seated,twist,beginner,https://pocketyoga.com/pose/EasyTwist,Easy_Twist_Parivritta_Sukhasana
EightAngle,Eight Angle,ashtavakrasana,aṣṭāvakrāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/EightAngle,Eight_Angle_Ashtavakrasana
EightPoint,Eight Point,ashtangasana,aṣṭāṅgāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/EightPoint,Eight_Point_Ashtangasana
ElephantTrunk,Elephant Trunk,eka hasta bhujasana,eka hasta bhujāsana,arm_balance_and_inversion,neutral,intermediate,https://pocketyoga.com/pose/ElephantTrunk,Elephant_Trunk_Eka_Hasta_Bhujasana
ElephantTrunkPreparation,Seated Hip Opener,,,seated,neutral,beginner,https://pocketyoga.com/pose/ElephantTrunkPreparation,Seated_Hip_Opener
Embryo,Embryo,pindasana,piṇḍāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/Embryo,Embryo_Pindasana
EmbryoWomb,Embryo in Womb,garbha pindasana,garbha piṇḍāsana,seated,balancing,expert,https://pocketyoga.com/pose/EmbryoWomb,Embryo_in_Womb_Garbha_Pindasana
EmbryoWombHandsOnCrown,Embryo in Womb - Roll Forward,,,seated,balancing,expert,https://pocketyoga.com/pose/EmbryoWombHandsOnCrown,Embryo_in_Womb_Roll_Forward
EmbryoWombHandsOnCrownBack,Embryo in Womb - Roll Back,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/EmbryoWombHandsOnCrownBack,Embryo_in_Womb_Roll_Back
Equestrian,Equestrian,ashva sanchalanasana,aśva sañcalanāsana,arm_leg_support,balancing,beginner,https://pocketyoga.com/pose/Equestrian,Equestrian_Ashva_Sanchalanasana
FallenTriangle,Fallen Triangle,patita tarasana,patita tārāsana,arm_leg_support,backbend,intermediate,https://pocketyoga.com/pose/FallenTriangle,Fallen_Triangle_Patita_Tarasana
FeatheredPeacock,Forearm Balance,pincha mayurasana,pīñca mayūrāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/FeatheredPeacock,Forearm_Balance_Pincha_Mayurasana
FeatheredPeacockEagle,Forearm Balance with Eagle Legs,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/FeatheredPeacockEagle,Forearm_Balance_with_Eagle_Legs
FeatheredPeacockLotus,Forearm Balance with Lotus Legs,padma pincha mayurasana,padma pīñca mayūrāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/FeatheredPeacockLotus,Forearm_Balance_with_Lotus_Legs_Padma_Pincha_Mayurasana
FigureFour,Figure Four,eka pada utkatasana,eka pāda utkaṭāsana,standing,balancing,beginner,https://pocketyoga.com/pose/FigureFour,Figure_Four_Eka_Pada_Utkatasana
FigureFourTwist,Revolved Figure Four,parivritta eka pada utkatasana,parivṛtta eka pāda utkaṭāsana,standing,twist,intermediate,https://pocketyoga.com/pose/FigureFourTwist,Revolved_Figure_Four_Parivritta_Eka_Pada_Utkatasana
FigureFourTwistExtended,Revolved Figure Four with Arms Extended,utthita parivritta eka pada utkatasana,utthita parivṛtta eka pāda utkaṭāsana,standing,twist,intermediate,https://pocketyoga.com/pose/FigureFourTwistExtended,Revolved_Figure_Four_with_Arms_Extended_Utthita_Parivritta_Eka_Pada_Utkatasana
Firefly,Firefly I,tittibhasana a,tittibhāsana a,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/Firefly,Firefly_I_Tittibhasana_A
FireLog,Fire Log,agnistambhasana,agnistambhāsana,seated,neutral,beginner,https://pocketyoga.com/pose/FireLog,Fire_Log_Agnistambhasana
FireLogForward,Fire Log Forward Bend,agnistambhasana,agnistambhāsana,seated,forward_bend,beginner,https://pocketyoga.com/pose/FireLogForward,Fire_Log_Forward_Bend_Agnistambhasana
Fish,Flying Fish,uttana padasana,uttāna pādāsana,supine,backbend,expert,https://pocketyoga.com/pose/Fish,Flying_Fish_Uttana_Padasana
FishLotus,Fish with Lotus Legs,matsyasana,matsyāsana,supine,backbend,expert,https://pocketyoga.com/pose/FishLotus,Fish_with_Lotus_Legs_Matsyasana
FishPreparation,Fish,matsyasana,matsyāsana,supine,backbend,beginner,https://pocketyoga.com/pose/FishPreparation,Fish_Matsyasana
FlamingoHumble,Humble Flamingo,,,arm_leg_support,forward_bend,expert,https://pocketyoga.com/pose/FlamingoHumble,Humble_Flamingo
FloatingStick,Floating Stick,brahmacharyasana,brahmacaryāsana,arm_balance_and_inversion,balancing,intermediate,https://pocketyoga.com/pose/FloatingStick,Floating_Stick_Brahmacharyasana
FlyingLizard,Flying Lizard,,,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/FlyingLizard,Flying_Lizard
FlyingManRevolved,Revolved Flying Man,parivritta eka pada koundinyasana,parivṛtta eka pāda kouṇḍinyāsana,arm_balance_and_inversion,balancing,expert,https://pocketyoga.com/pose/FlyingManRevolved,Revolved_Flying_Man_Parivritta_Eka_Pada_Koundinyasana
FootBehindHead,One Leg Behind the Head I,eka pada shirshasana a,eka pāda śīrṣāsana a,seated,neutral,expert,https://pocketyoga.com/pose/FootBehindHead,One_Leg_Behind_the_Head_I_Eka_Pada_Shirshasana_A
FootBehindHeadElevated,Moon Bird,eka pada shirshasana c,eka pāda śīrṣāsana c,arm_balance_and_inversion,neutral,expert,https://pocketyoga.com/pose/FootBehindHeadElevated,Moon_Bird_Eka_Pada_Shirshasana_C
FootBehindHeadForward,One Leg Behind the Head II,eka pada shirshasana b,eka pāda śīrṣāsana b,seated,forward_bend,expert,https://pocketyoga.com/pose/FootBehindHeadForward,One_Leg_Behind_the_Head_II_Eka_Pada_Shirshasana_B
FootBehindHeadTwoLegged,Two Legs Behind the Head I,dvi pada shirshasana a,dvi pāda śīrṣāsana a,seated,neutral,expert,https://pocketyoga.com/pose/FootBehindHeadTwoLegged,Two_Legs_Behind_the_Head_I_Dvi_Pada_Shirshasana_A
FootBehindHeadTwoLeggedElevated,Two Legs Behind the Head II,dvi pada shirshasana b,dvi pāda śīrṣāsana b,arm_balance_and_inversion,neutral,expert,https://pocketyoga.com/pose/FootBehindHeadTwoLeggedElevated,Two_Legs_Behind_the_Head_II_Dvi_Pada_Shirshasana_B
ForwardBend,Standing Forward Bend,uttanasana,uttānāsana,standing,forward_bend,beginner,https://pocketyoga.com/pose/ForwardBend,Standing_Forward_Bend_Uttanasana
ForwardBendBigToe,Big Toe,padangushthasana,pādāṅguṣṭhāsana,standing,forward_bend,intermediate,https://pocketyoga.com/pose/ForwardBendBigToe,Big_Toe_Padangushthasana
ForwardBendBigToePreparation,Big Toe (Preparation),,,standing,forward_bend,intermediate,https://pocketyoga.com/pose/ForwardBendBigToePreparation,Big_Toe_Preparation
ForwardBendBind,Balancing Standing Forward Bend,uttanasana,uttānāsana,standing,forward_bend,intermediate,https://pocketyoga.com/pose/ForwardBendBind,Balancing_Standing_Forward_Bend_Uttanasana
ForwardBendDeep,Standing Forward Bend with Shoulder Opener,uttanasana,uttānāsana,standing,forward_bend,intermediate,https://pocketyoga.com/pose/ForwardBendDeep,Standing_Forward_Bend_with_Shoulder_Opener_Uttanasana
ForwardBendHalfWay,Halfway Lift,ardha uttanasana,ardha uttānāsana,standing,forward_bend,beginner,https://pocketyoga.com/pose/ForwardBendHalfWay,Halfway_Lift_Ardha_Uttanasana
ForwardBendPreparation,Standing Forward Bend (Preparation),,,standing,forward_bend,beginner,https://pocketyoga.com/pose/ForwardBendPreparation,Standing_Forward_Bend_Preparation
ForwardBendTwist,Standing Forward Bend Twist,parivritta uttanasana,parivṛtta uttānāsana,standing,twist,beginner,https://pocketyoga.com/pose/ForwardBendTwist,Standing_Forward_Bend_Twist_Parivritta_Uttanasana
FourLimbedStaff,Low Push-up,chaturanga dandasana,caturaṅga daṇḍāsana,arm_leg_support,balancing,intermediate,https://pocketyoga.com/pose/FourLimbedStaff,Low_Push_up_Chaturanga_Dandasana
Frog,Frog,bhekasana,bhekāsana,prone,neutral,intermediate,https://pocketyoga.com/pose/Frog,Frog_Bhekasana
FrogTraditional,Frog,bhekasana,bhekāsana,prone,neutral,intermediate,https://pocketyoga.com/pose/FrogTraditional,Frog_Bhekasana_FrogTraditional
FrogTraditionalPreparation,Frog (Preparation),bhekasana,bhekāsana,prone,neutral,intermediate,https://pocketyoga.com/pose/FrogTraditionalPreparation,Frog_Preparation_Bhekasana
Garland,Garland,malasana,mālāsana,seated,balancing,beginner,https://pocketyoga.com/pose/Garland,Garland_Malasana
GarlandSideways,Garland,malasana,mālāsana,seated,balancing,beginner,https://pocketyoga.com/pose/GarlandSideways,Garland_Malasana_GarlandSideways
Gate,Gate,parighasana,parighāsana,arm_leg_support,lateral_bend,beginner,https://pocketyoga.com/pose/Gate,Gate_Parighasana
GatePreparation,Gate (Preparation),,,arm_leg_support,lateral_bend,beginner,https://pocketyoga.com/pose/GatePreparation,Gate_Preparation
